"","X","inv_pres1","inv_pres2","inv_federal","inv_estadual","inv_gov","votaria","pref_cand","pref_part","inv_gov2","houseincome","income","catincome","male","efficacygov","efficacyvote","congressev","wouldvote","right","partyeval","knowledge","interest","education","age","govevaluation"
"1957",1957,0,0,NA,1,0,3,1,1,NA,833.333312988281,2500,3,1,5,4,4,1,3,1,6,3,4,62,4
"1958",1958,0,0,NA,0,1,3,1,1,NA,510,510,1,1,5,5,4,1,7,4,8,3,3,62,4
"1959",1959,0,0,NA,NA,0,1,2,2,NA,500,1020,2,0,1,5,4,2,5,4,4,3,5,21,4
"1960",1960,0,NA,0,0,1,3,1,2,NA,650,2000,3,1,5,5,5,1,6,4,7,3,5,48,4
"1961",1961,0,0,0,0,0,2,1,2,NA,1666.66662597656,1900,3,0,5,5,1,NA,0,1,10,2,9,27,1
"1962",1962,0,0,1,1,1,1,1,2,NA,1550,2300,3,1,5,5,1,2,5,1,5,1,7,43,1
"1963",1963,1,1,1,1,1,1,2,2,NA,2225,3500,4,1,5,5,1,2,NA,1,4,1,5,50,1
"1964",1964,0,0,1,1,0,1,2,2,NA,966.666687011719,900,2,0,5,5,1,2,NA,1,7,1,4,40,5
"1965",1965,0,0,0,0,0,3,1,2,NA,1150,1500,3,0,2,5,2,1,5,4,5,1,7,53,5
"1966",1966,0,0,0,0,0,3,1,1,NA,560,2000,3,1,5,4,2,1,3,2,8,2,4,35,3
"1967",1967,0,0,0,0,0,3,1,2,NA,750,1500,3,1,5,4,3,1,5,3,NA,3,3,50,4
"1968",1968,0,0,0,0,0,3,1,1,NA,4000,3000,4,0,4,4,3,1,8,3,8,2,5,60,3
"1969",1969,0,0,0,0,0,1,2,2,NA,950,510,1,0,5,5,2,2,4,2,4,1,5,57,2
"1970",1970,0,0,1,1,0,3,2,2,NA,733.333312988281,1000,2,1,5,5,5,1,NA,1,12,3,2,65,5
"1971",1971,0,0,NA,0,0,3,1,1,NA,1166.66662597656,1500,3,0,5,4,1,1,5,4,10,3,7,52,5
"1972",1972,0,0,NA,NA,0,1,1,2,NA,4000,5000,4,0,5,5,2,2,5,2,10,4,7,40,2
"1973",1973,0,0,NA,NA,0,3,1,1,NA,550,550,2,1,5,5,2,1,10,2,12,3,2,65,2
"1974",1974,0,0,0,0,0,1,1,2,NA,833.333312988281,1100,3,1,5,5,3,2,6,3,9,1,7,40,3
"1975",1975,0,0,NA,NA,0,3,1,2,NA,510,600,2,0,5,5,3,1,5,4,7,2,2,68,3
"1976",1976,0,0,NA,NA,0,1,2,2,NA,466.666656494141,900,2,0,3,1,1,2,5,1,4,2,5,50,1
"1977",1977,0,0,1,1,1,1,1,2,NA,875,1,0,0,5,5,1,2,5,1,9,2,5,58,1
"1978",1978,0,0,0,0,0,3,2,1,NA,1250,1,0,0,4,4,3,1,1,3,12,3,8,43,5
"1979",1979,1,1,1,1,1,1,1,2,NA,625,1000,2,0,5,5,2,2,5,2,6,4,7,26,2
"1980",1980,0,0,NA,NA,0,3,1,1,NA,510,510,1,1,5,5,4,1,2,3,6,3,2,62,4
"1981",1981,0,0,NA,NA,0,2,2,1,NA,533.333312988281,600,2,1,4,5,4,NA,5,4,1,1,7,23,4
"1982",1982,0,0,NA,NA,0,3,1,2,NA,510,1020,2,1,5,5,4,1,5,3,6,2,3,43,3
"1983",1983,0,0,0,1,0,3,2,2,NA,266.666656494141,500,1,1,5,5,5,1,NA,4,3,3,7,25,5
"1984",1984,0,0,1,1,1,3,1,1,NA,127.5,510,1,0,5,5,5,1,2,5,2,3,2,47,5
